Fecha y hora de respuesta;2. País o ciudad de nacimiento:;3. Género:;4. Fecha de nacimiento (en formato DD/MM/AAAA):;5. ¿Cuál es el máximo nivel educativo que cursás o cursaste?;6. ¿Qué carrera de grado cursás o cursaste?;7. ¿Qué carrera de posgrado cursás o cursaste?;8. ¿Trabajaste la semana pasada al menos una hora?;9. En ese trabajo...;10. ¿A qué se dedica o qué produce la empresa/establecimiento en el que trabajás?;11. ¿Desde qué fecha (DD/MM/AAAA) trabajás en este puesto?;12. ¿Cómo se llama tu ocupación?;"13. ¿Alguna vez (en este trabajo o en otra actividad) trabajaste con&nbsp;datos&nbsp;(recolectando, limpiando, analizando, etc.)?";14. ¿Cuántos años trabajaste con datos?(Si es menos de 1 registrá 0.);15. ¿Cuáles de las siguientes herramientas utilizaste? (indicar todas las utilizadas)- Excel- SPSS- SAS- R- Python- Otras (indicar cúales);16. ¿Alguna vez (en este trabajo o en otra actividad) trabajaste haciendo tareas de programación?;17. ¿Durante cuántos años? (Si no aplica ingresar 0);"18. ¿Con qué lenguajes? (Indicar todos los que apliquen)-&nbsp;Python- Ruby- PHP- Java- JavaScript- SQL- C++- Otros (indicar cuáles)";19. ¿Qué creés que va a pasar en el curso de Data Science?;20. ¿Qué te gustaría que pase?
10-08-2022 00:09:05;Venezuela;Femenino;15/03/1989;Universitario;Licenciatura en Estadística;Ninguna;Si;Si;Seguridad;08/10/2018;Analista;Si;7;Excel ;No;0;Ninguno;Si;Aprender
10-08-2022 00:09:07;Argentina;Masculino;11/10/1982;Universitario;Ingeniería en Informática;Ninguna;Si;NS/NC;Obtener direcciones de correo electrónico y telefonos;15/09/2020;CTO;NO;0;Python;Si;15;- Python;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
10-08-2022 00:10:21;;;;;;;;;;;;;;;;;;;
si;Consultoria;06/02/22;Desarrolador bi;Si;1;Excel, SQL, Tableau, Power Bi, Oracle;NO;0;SQL;Mucho aprendizaje y dolor de cabeza jajaja;Que sea un curso que me cautive para poder motivarme para aprender cada  vez mas sobre datos;;;;;;;;
10-08-2022 00:11:06;Argentina;Femenino;19/10/1992;Universitario;Economía;Ninguna;Si;soy analista;Servicios;11-21;Analista;Si;7;Excel;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
09-08-2022 22:58:45;;;;;;;;;;;;;;;;;;;
Si;Genera conocimiento;01/07/2020;Postdoctoral Researcher;No;0;Excel;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
10-08-2022 00:11:16;Bogotá, Colombia;Femenino;04/04/1975;Maestría;Mercadeo ;Maestria en Administración;si;si;Servicios de consultoria y capacitación sobre crédito educativo en Latinoamérica;01/04/2019;Consultor ;Si;15;Excel;no;0;ninguno;Voy a aprender a manejar datos de una manera más optima y eficiente.;Sentirme segura con los conceptos y la aplicación de los temas que aprenda en este curso.
10-08-2022 00:09:49;Argentina;Femenino;31/07/1989;Posgrado;Medicina;Transplante;Si;Si;Cirugía;01/04/2021;Estudiante de posgrado;Si;1;Excel, R, Python;Si;1;Otros (R);Va a ser dificil pero espero aprobarlo y aprender mucho.;Idem pregunta 19
10-08-2022 00:23:31;;;;;;;;;;;;;;;;;;;
